url	first_seen	portal	title	company	status
https://jobs.ashbyhq.com/astronomer/03c71958-a3c5-4a11-8e46-42a4d1c62818	2026-04-10	ashby-websearch	Cloud Solutions Architect, Infrastructure	Astronomer	added
https://jobs.ashbyhq.com/vantage/66c47a79-f167-4067-b31a-a865bd37e62d	2026-04-10	ashby-websearch	Solutions Architect	Vantage	added
https://jobs.ashbyhq.com/zip/4342277b-c2f0-4b98-afe2-cfb4806ccd95	2026-04-10	ashby-websearch	Enterprise Architect	Zip	added
https://jobs.ashbyhq.com/ironcladhq/9a1b06aa-8440-478e-8dc2-4e318d0a7aa9	2026-04-10	ashby-websearch	Enterprise Architect	Ironclad	added
https://jobs.ashbyhq.com/cohort/d0507372-eff6-46da-b5e6-6cf0afa06675	2026-04-10	ashby-websearch	Software Architect	Cohort AI	added
https://jobs.ashbyhq.com/rewst/a5625efe-2685-4fe1-95e0-99ac10b685eb	2026-04-10	ashby-websearch	QA Engineering Manager	Rewst	added
https://jobs.ashbyhq.com/CUBE/0b7a98b1-81f9-455c-9e5a-099ef6e66e0b	2026-04-10	ashby-websearch	Quality Engineering Manager	CUBE	added
https://jobs.ashbyhq.com/abridge/ceb6a3c4-05ee-4c96-b563-fa7c585ca41e	2026-04-10	ashby-websearch	QA Lead	Abridge	added
https://jobs.ashbyhq.com/vcluster/f349e862-bfca-49cf-a120-48197b45c842	2026-04-10	ashby-websearch	QA Manager	vCluster Labs	added
https://jobs.ashbyhq.com/Deel/33330afb-f781-4ed9-bfbe-2f4b7dce08cb	2026-04-10	ashby-websearch	QA Lead Automation Engineer (EMEA)	Deel	added
https://job-boards.greenhouse.io/oddball/jobs/7686827003	2026-04-10	greenhouse-websearch	DevOps Engineer	Oddball	added
https://job-boards.greenhouse.io/icapitalnetwork/jobs/8390699002	2026-04-10	greenhouse-websearch	DevOps Engineer - Senior Vice President	iCapital	added
https://job-boards.greenhouse.io/perfectserve/jobs/5868778004	2026-04-10	greenhouse-websearch	Senior Platform Engineer - US Remote	PerfectServe	added
https://job-boards.greenhouse.io/defcon/jobs/5091753007	2026-04-10	greenhouse-websearch	Cloud Infrastructure Engineer	DEFCON AI	added
https://job-boards.greenhouse.io/ezcaterinc/jobs/4408794007	2026-04-10	greenhouse-websearch	Senior DevOps Engineer (Remote)	ezCater	added
https://job-boards.greenhouse.io/gongio/jobs/4668017006	2026-04-10	greenhouse-websearch	DevOps Engineer	Gong.io	added
https://job-boards.greenhouse.io/armada/jobs/5126489008	2026-04-10	greenhouse-websearch	Staff/Lead Platform-DevOps Engineer	Armada	added
https://job-boards.greenhouse.io/technology/jobs/4813809101	2026-04-10	greenhouse-websearch	Senior DevOps Engineer	Relai	added
https://jobs.lever.co/oowlish/9afdf6ef-febf-4e4b-8364-907c491e7202	2026-04-10	lever-websearch	DevOps & Site Reliability Engineer	Oowlish	added
https://jobs.lever.co/aqemia.com/7b36818c-a29a-4343-b9c5-bd5bf3d6b0ba	2026-04-10	lever-websearch	SRE - Platform Engineer	Aqemia	added
https://jobs.lever.co/capital/881751bd-e3c8-47e8-9e20-39d8c7ed1b02	2026-04-10	lever-websearch	Senior DevOps/SRE Engineer	capital.com	added
https://weworkremotely.com/remote-jobs/0d-capital-senior-devops-sre-engineer	2026-04-10	weworkremotely	Senior DevOps/SRE Engineer	0D Capital	added
https://weworkremotely.com/remote-jobs/capb-infotek-remote-full-time-sre-devops-engagement-lead-cloud-platform-architect	2026-04-10	weworkremotely	SRE DevOps Engagement Lead & Cloud Platform Architect	CapB InfoteK	added
https://weworkremotely.com/remote-jobs/bluebird-technologies-senior-infrastructure-security-engineer	2026-04-10	weworkremotely	Senior Infrastructure & Security Engineer	Bluebird Technologies	added
https://weworkremotely.com/remote-jobs/steampunk-cloud-architect	2026-04-10	weworkremotely	Cloud Architect	Steampunk	added
